Segment,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24,Month 25,Month 26,Month 27,Month 28,Month 29,Month 30,Month 31,Month 32,Month 33,Month 34,Month 35,Month 36,Month 37,Month 38,Month 39,Month 40,Month 41,Month 42,Month 43,Month 44,Month 45,Month 46,Month 47,Month 48
Seed Round - Community,10,,,10,,,,,,,,11,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,,,,,,,,,,,,,,,,,,,,,,,,
Seed Round - Strategic,10,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,
Private Round - Strategic,10,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,
Public Round ,20,,20,,20,,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOMO Round - Unlocked,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liquidity, MM",15,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,,,,,,,
"Marketing, Growth, and User Incentives",,10,,,,,10,,,,,,20,,,5,,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,1,1,1,1,1,1,1,1,1,1
"Ecosystem Fund, Reserve",,10,,,10,,,,,,,,20,,,5,,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,1,1,1,1,1,1,1,1,1,1
Team,,,,,,,5,,,,,,15,,,20,,,20,,,20,,,5,,,5,,,5,,,2.5,,2.5,,,,,,,,,,,,
Advisors ,,,,,,,5,,,,,,15,,,20,,,20,,,20,,,5,,,5,,,5,,,2.5,,2.5,,,,,,,,,,,,
